FECHA_ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_VICTIMA,TIPO_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMAS,DIRECCION_ACCIDENTE,LATITUD,LONGITUD,1VIA_TIPO,1VIA_NUM,1VIA_NOM,1SUFIJO,2VIA_TIPO,2VIA_NUM,2VIA_NOM,2SUFIJO,COMPLEMENTO
2018-01-01,Peaton,Herido,Atropello,M,63,1,CALLE 87 CARRERA 9H,10.959004,-74.825597,CALLE,87,,,CARRERA,9H,,,
2018-01-01,Peaton,Herido,Atropello,F,19,1,CALLE 119B CARRERA 11B,10.963958,-74.843111,CALLE,119B,,,CARRERA,11B,,,
2018-01-01,Acompañante,Herido,Choque,F,38,1,CARRERA 8 CALLE 41,10.94614,-74.796085,CARRERA,8,,,CALLE,41,,,
2018-01-01,Conductor,Herido,Choque,M,32,1,CARRERA 8 CALLE 41,10.94614,-74.796085,CARRERA,8,,,CALLE,41,,,
2018-01-01,Motociclista,Herido,Choque,M,59,1,CARRERA 8 CALLE 41,10.94614,-74.796085,CARRERA,8,,,CALLE,41,,,
2018-01-02,Acompañante,Herido,Choque,M,36,1,AVENIDA CIRCUNVALAR CARRERA 9G,10.956705,-74.836117,AVENIDA,,CIRCUNVALAR,,CARRERA,9G,,,
2018-01-02,Motociclista,Herido,Choque,M,36,1,AVENIDA CIRCUNVALAR CARRERA 9G,10.956705,-74.836117,AVENIDA,,CIRCUNVALAR,,CARRERA,9G,,,
2018-01-02,Conductor,Herido,Choque,M,43,1,CALLE 30 CARRERA 30,10.969196,-74.780875,CALLE,30,,,CARRERA,30,,,
2018-01-03,Motociclista,Herido,Atropello,M,42,1,CALLE 110 CARRERA 52,11.017423,-74.837608,CALLE,110,,,CARRERA,52,,,
2018-01-03,Peaton,Herido,Atropello,F,52,1,CALLE 110 CARRERA 52,11.017423,-74.837608,CALLE,110,,,CARRERA,52,,,
2018-01-03,Pasajero,Herido,Choque,F,64,1,AVENIDA CIRCUNVALAR CARRERA 51B,10.979908,-74.835966,AVENIDA,,CIRCUNVALAR,,CARRERA,51B,,,
2018-01-03,Ciclista,Herido,Choque,M,42,1,CALLE 27B CARRERA 20B,10.957023,-74.782775,CALLE,27B,,,CARRERA,20B,,,
2018-01-03,Motociclista,Herido,Choque,M,29,1,CARRERA 15 SUR CALLE 46,10.922975,-74.802692,CARRERA,15,,SUR,CALLE,46,,,
2018-01-04,Peaton,Herido,Atropello,M,81,1,CARRERA 17 CALLE 36B,10.954391,-74.791129,CARRERA,17,,,CALLE,36B,,,
2018-01-04,Acompañante,Herido,Choque,M,52,1,CALLE 110 CARRERA 10,10.959065,-74.837117,CALLE,110,,,CARRERA,10,,,
2018-01-04,Motociclista,Herido,Choque,M,31,1,CALLE 110 CARRERA 10,10.959065,-74.837117,CALLE,110,,,CARRERA,10,,,
2018-01-04,Pasajero,Herido,Choque,M,63,1,CALLE 82 CARRERA 59B,11.010983,-74.810968,CALLE,82,,,CARRERA,59B,,,
2018-01-04,Conductor,Herido,Choque,M,43,1,CARRERA 14 CALLE 35,10.951457,-74.788801,CARRERA,14,,,CALLE,35,,,
2018-01-04,Conductor,Herido,Choque,M,33,1,CARRERA 29 CALLE 37,10.968809,-74.784276,CARRERA,29,,,CALLE,37,,,
2018-01-05,Acompañante,Herido,Choque,F,52,1,CARRERA 20B CALLE 64B,10.968282,-74.807485,CARRERA,20B,,,CALLE,64B,,,
2018-01-05,Motociclista,Herido,Choque,M,23,1,CARRERA 20B CALLE 64B,10.968282,-74.807485,CARRERA,20B,,,CALLE,64B,,,
2018-01-05,Motociclista,Herido,Choque,F,45,1,CARRERA 45 CALLE 53,10.987715,-74.789775,CARRERA,45,,,CALLE,53,,,
2018-01-05,Acompañante,Herido,Choque,F,35,1,CARRERA 49C CALLE 76,10.999839,-74.808504,CARRERA,49C,,,CALLE,76,,,
2018-01-06,Motociclista,Herido,Atropello,M,36,1,CALLE 30 CARRERA 46,10.951562,-74.78607,CALLE,30,,,CARRERA,46,,,
2018-01-06,Peaton,Muerto,Atropello,M,80,1,CALLE 30 CARRERA 46,10.951562,-74.78607,CALLE,30,,,CARRERA,46,,,
2018-01-06,Motociclista,Herido,Atropello,M,37,1,CALLE 110 CARRERA 6,11.033264,-74.830955,CALLE,110,,,CARRERA,6,,,
2018-01-06,Pasajero,Herido,Atropello,M,27,1,CALLE 110 CARRERA 6,11.033264,-74.830955,CALLE,110,,,CARRERA,6,,,
2018-01-06,Pasajero,Herido,Caida Ocupante,M,25,1,AVENIDA CORDIALIDAD AVENIDA CIRCUNVALAR,10.979908,-74.835966,AVENIDA,,CORDIALIDAD,,AVENIDA,,CIRCUNVALAR,,
2018-01-06,Pasajero,Herido,Choque,F,37,1,CALLE 68 CARRERA 60,10.999533,-74.794842,CALLE,68,,,CARRERA,60,,,
2018-01-06,Acompañante,Herido,Choque,F,38,1,CARRERA 51B CALLE 90,11.008153,-74.822291,CARRERA,51B,,,CALLE,90,,,
2018-01-07,Acompañante,Herido,Choque,M,25,1,CALLE 39 CARRERA 26B,10.935667,-74.794328,CALLE,39,,,CARRERA,26B,,,
2018-01-07,Conductor,Herido,Choque,M,35,1,CALLE 39 CARRERA 26B,10.935667,-74.794328,CALLE,39,,,CARRERA,26B,,,
2018-01-07,Conductor,Herido,Choque,M,70,1,CALLE 39 CARRERA 26B,10.935667,-74.794328,CALLE,39,,,CARRERA,26B,,,
2018-01-07,Acompañante,Herido,Choque,F,31,1,CARRERA 10 CALLE 62,10.903896,-74.798476,CARRERA,10,,,CALLE,62,,,
2018-01-07,Motociclista,Herido,Choque,M,34,1,CARRERA 10 CALLE 62,10.903896,-74.798476,CARRERA,10,,,CALLE,62,,,
2018-01-07,Acompañante,Herido,Choque,F,18,1,CARRERA 58 CALLE 90,11.013347,-74.81821,CARRERA,58,,,CALLE,90,,,
2018-01-07,Acompañante,Herido,Choque,F,49,1,CARRERA 58 CALLE 90,11.013347,-74.81821,CARRERA,58,,,CALLE,90,,,
2018-01-07,Acompañante,Herido,Choque,M,39,1,CARRERA 58 CALLE 90,11.013347,-74.81821,CARRERA,58,,,CALLE,90,,,
2018-01-07,Conductor,Herido,Choque,M,28,1,CARRERA 58 CALLE 90,11.013347,-74.81821,CARRERA,58,,,CALLE,90,,,
2018-01-07,Conductor,Herido,Choque,M,51,1,CARRERA 58 CALLE 90,11.013347,-74.81821,CARRERA,58,,,CALLE,90,,,
2018-01-08,Peaton,Herido,Atropello,M,34,1,CARRERA 38 CALLE 30,10.97618,-74.777269,CARRERA,38,,,CALLE,30,,,
2018-01-08,Acompañante,Herido,Choque,M,64,1,CARRERA 13 CALLE 104,10.965426,-74.8333,CARRERA,13,,,CALLE,104,,,
2018-01-09,Peaton,Herido,Atropello,M,68,1,CALLE 42 CARRERA 41,10.980874,-74.7838,CALLE,42,,,CARRERA,41,,,
2018-01-09,Motociclista,Herido,Choque,M,44,1,CALLE 72 CARRERA 38B,10.986537,-74.810036,CALLE,72,,,CARRERA,38B,,,
2018-01-09,Acompañante,Herido,Choque,F,49,1,CALLE 72 CARRERA 65,11.004537,-74.79447,CALLE,72,,,CARRERA,65,,,
2018-01-09,Conductor,Herido,Choque,M,47,1,CALLE 72 CARRERA 65,11.004537,-74.79447,CALLE,72,,,CARRERA,65,,,
2018-01-09,Motociclista,Herido,Choque,M,39,1,CARRERA 37 CALLE 57,10.981597,-74.796874,CARRERA,37,,,CALLE,57,,,
2018-01-09,Motociclista,Herido,Choque,F,38,1,CARRERA 38 CALLE 80B,10.98629,-74.821105,CARRERA,38,,,CALLE,80B,,,
2018-01-09,Motociclista,Herido,Choque,M,31,1,CARRERA 38 CALLE 80B,10.98629,-74.821105,CARRERA,38,,,CALLE,80B,,,
2018-01-10,Motociclista,Herido,Choque,M,35,1,CALLE 34 CARRERA 35,10.974528,-74.780381,CALLE,34,,,CARRERA,35,,,
2018-01-10,Acompañante,Herido,Choque,F,30,1,CARRERA 49 CALLE 67,10.994219,-74.799929,CARRERA,49,,,CALLE,67,,,
2018-01-10,Motociclista,Herido,Choque,F,29,1,CARRERA 49 CALLE 67,10.994219,-74.799929,CARRERA,49,,,CALLE,67,,,
2018-01-10,Conductor,Herido,Choque,F,61,1,VIA 40 CARRERA 79,11.03909,-74.823832,VIA,40,,,CARRERA,79,,,
2018-01-11,Peaton,Herido,Atropello,M,16,1,CARRERA 14 CALLE 63,10.961007,-74.807892,CARRERA,14,,,CALLE,63,,,
2018-01-11,Peaton,Herido,Atropello,F,37,1,CARRERA 47 CALLE 72,10.995093,-74.805207,CARRERA,47,,,CALLE,72,,,
2018-01-11,Motociclista,Herido,Choque,M,26,1,CALLE 30 CARRERA 21,10.959269,-74.785127,CALLE,30,,,CARRERA,21,,,
2018-01-11,Motociclista,Herido,Choque,M,33,1,CALLE 30 CARRERA 21,10.959269,-74.785127,CALLE,30,,,CARRERA,21,,,
2018-01-11,Motociclista,Herido,Choque,M,35,1,CALLE 30 CARRERA 44,10.982533,-74.775435,CALLE,30,,,CARRERA,44,,,
2018-01-11,Pasajero,Herido,Choque,M,29,1,CALLE 30 CARRERA 44,10.982533,-74.775435,CALLE,30,,,CARRERA,44,,,
2018-01-11,Pasajero,Herido,Choque,F,33,1,CARRERA 44 CALLE 51,10.985673,-74.790164,CARRERA,44,,,CALLE,51,,,
2018-01-11,Pasajero,Herido,Choque,F,34,1,CARRERA 44 CALLE 51,10.985673,-74.790164,CARRERA,44,,,CALLE,51,,,
2018-01-11,Pasajero,Herido,Choque,M,29,1,CARRERA 44 CALLE 51,10.985673,-74.790164,CARRERA,44,,,CALLE,51,,,
2018-01-11,Pasajero,Herido,Choque,M,51,1,CARRERA 44 CALLE 51,10.985673,-74.790164,CARRERA,44,,,CALLE,51,,,
2018-01-11,Pasajero,Herido,Choque,M,60,1,CARRERA 44 CALLE 51,10.985673,-74.790164,CARRERA,44,,,CALLE,51,,,
2018-01-11,Pasajero,Herido,Choque,M,62,1,CARRERA 44 CALLE 51,10.985673,-74.790164,CARRERA,44,,,CALLE,51,,,
2018-01-11,Pasajero,Herido,Choque,M,74,1,CARRERA 44 CALLE 51,10.985673,-74.790164,CARRERA,44,,,CALLE,51,,,
2018-01-11,Motociclista,Herido,Choque,M,41,1,CARRERA 46 CALLE 54,10.989039,-74.791088,CARRERA,46,,,CALLE,54,,,
2018-01-12,Peaton,Herido,Atropello,M,31,1,CALLE 110 CARRERA 38,11.033264,-74.830955,CALLE,110,,,CARRERA,38,,,
2018-01-12,Motociclista,Herido,Choque,M,32,1,CALLE 86 CARRERA 71,11.017933,-74.811812,CALLE,86,,,CARRERA,71,,,
2018-01-12,Motociclista,Herido,Choque,M,27,1,CARRERA 14 CALLE 56B,10.959095,-74.804498,CARRERA,14,,,CALLE,56B,,,
2018-01-12,Pasajero,Herido,Choque,M,44,3,CARRERA 38 CALLE 79A,10.987138,-74.818183,CARRERA,38,,,CALLE,79A,,,
2018-01-13,Peaton,Herido,Atropello,M,45,1,CALLE 110 CARRERA 26,10.971627,-74.837145,CALLE,110,,,CARRERA,26,,,
2018-01-13,Motociclista,Herido,Atropello,M,47,1,CARRERA 42H CALLE 87,10.999119,-74.824282,CARRERA,42H,,,CALLE,87,,,
2018-01-13,Peaton,Herido,Atropello,M,56,1,CARRERA 42H CALLE 87,10.999119,-74.824282,CARRERA,42H,,,CALLE,87,,,
2018-01-13,Conductor,Herido,Choque,M,51,1,CALLE 45 CARRERA 45,10.986429,-74.785088,CALLE,45,,,CARRERA,45,,,
2018-01-13,Conductor,Herido,Choque,M,43,1,CALLE 38B CARRERA 5A,10.939992,-74.793454,CALLE,38B,,,CARRERA,5A,,,
2018-01-13,Motociclista,Herido,Choque,M,33,1,CARRERA 15 SUR CALLE 70,10.922826,-74.805247,CARRERA,15,,SUR,CALLE,70,,,
2018-01-13,Acompañante,Herido,Choque,M,29,1,CARRERA 34 CALLE 72,10.982246,-74.812327,CARRERA,34,,,CALLE,72,,,
2018-01-13,Motociclista,Herido,Choque,M,29,1,CARRERA 34 CALLE 72,10.982246,-74.812327,CARRERA,34,,,CALLE,72,,,
2018-01-13,Conductor,Herido,Choque,M,25,1,CARRERA 38 CALLE 57,10.982468,-74.796308,CARRERA,38,,,CALLE,57,,,
2018-01-13,Pasajero,Herido,Choque,M,24,1,CARRERA 38 CALLE 57,10.982468,-74.796308,CARRERA,38,,,CALLE,57,,,
2018-01-13,Pasajero,Herido,Choque,M,25,1,CARRERA 46 CALLE 93,11.004618,-74.826932,CARRERA,46,,,CALLE,93,,,
2018-01-14,Motociclista,Herido,Atropello,M,63,1,CALLE 45 CARRERA 11 SUR,10.92566,-74.799073,CALLE,45,,,CARRERA,11,,SUR,
2018-01-14,Peaton,Herido,Atropello,M,69,1,CALLE 45 CARRERA 11 SUR,10.92566,-74.799073,CALLE,45,,,CARRERA,11,,SUR,
2018-01-14,Motociclista,Herido,Choque,M,28,1,AVENIDA CIRCUNVALAR CALLE 98,10.928926,-74.829527,AVENIDA,,CIRCUNVALAR,,CALLE,98,,,
2018-01-14,Motociclista,Herido,Choque,M,28,1,AVENIDA CIRCUNVALAR CALLE 98,10.928926,-74.829527,AVENIDA,,CIRCUNVALAR,,CALLE,98,,,
2018-01-14,Pasajero,Herido,Choque,M,22,1,AVENIDA CIRCUNVALAR CALLE 98,10.928926,-74.829527,AVENIDA,,CIRCUNVALAR,,CALLE,98,,,
2018-01-14,Pasajero,Herido,Choque,M,22,1,AVENIDA CIRCUNVALAR CALLE 98,10.928926,-74.829527,AVENIDA,,CIRCUNVALAR,,CALLE,98,,,
2018-01-14,Ciclista,Herido,Choque,M,64,1,CALLE 110 CARRERA 6,11.033264,-74.830955,CALLE,110,,,CARRERA,6,,,
2018-01-14,Motociclista,Herido,Choque,M,36,1,CALLE 110 CARRERA 6,11.033264,-74.830955,CALLE,110,,,CARRERA,6,,,
2018-01-14,Motociclista,Herido,Choque,F,41,1,CALLE 35 CARRERA 14,10.951457,-74.788801,CALLE,35,,,CARRERA,14,,,
2018-01-14,Pasajero,Herido,Choque,M,13,1,AVENIDA CORDIALIDAD KM2 ULTRACEM,10.964023,-74.793034,AVENIDA,KM2,CORDIALIDAD,,,,,,ULTRACEM
2018-01-14,Acompañante,Herido,Choque,M,52,1,CARRERA 8 CALLE 51B,10.946137,-74.806123,CARRERA,8,,,CALLE,51B,,,
2018-01-14,Motociclista,Herido,Choque,M,55,1,CARRERA 8 CALLE 51B,10.946137,-74.806123,CARRERA,8,,,CALLE,51B,,,
2018-01-15,Peaton,Herido,Atropello,M,30,1,AVENIDA CORDIALIDAD KM1 VIA GALAPA,10.964023,-74.793034,AVENIDA,KM1,CORDIALIDAD,,VIA,,GALAPA,,
2018-01-15,Peaton,Herido,Atropello,M,45,1,AVENIDA CORDIALIDAD KM1 VIA GALAPA,10.964023,-74.793034,AVENIDA,KM1,CORDIALIDAD,,VIA,,GALAPA,,
2018-01-15,Motociclista,Herido,Choque,M,32,1,CARRERA 45B CALLE 94,11.004007,-74.827991,CARRERA,45B,,,CALLE,94,,,
2018-01-15,Pasajero,Herido,Choque,F,27,1,CARRERA 45B CALLE 94,11.004007,-74.827991,CARRERA,45B,,,CALLE,94,,,
2018-01-15,Conductor,Herido,Choque,M,46,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Conductor,Herido,Choque,M,46,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,F,27,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,F,27,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,F,52,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,F,52,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,F,53,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,F,53,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,F,63,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,F,63,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,M,27,2,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,M,27,2,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,M,41,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Pasajero,Herido,Choque,M,41,1,CARRERA 46 CALLE 64,10.991082,-74.798492,CARRERA,46,,,CALLE,64,,,
2018-01-15,Acompañante,Herido,Choque,M,45,1,CARRERA 9G AVENIDA CIRCUNVALAR,10.956705,-74.836117,CARRERA,9G,,,AVENIDA,,CIRCUNVALAR,,
2018-01-15,Motociclista,Herido,Choque,M,54,1,CARRERA 9G AVENIDA CIRCUNVALAR,10.956705,-74.836117,CARRERA,9G,,,AVENIDA,,CIRCUNVALAR,,
2018-01-15,Acompañante,Herido,Choque,M,28,1,VIA 40 CARRERA 67,11.001258,-74.78435,VIA,40,,,CARRERA,67,,,
2018-01-15,Motociclista,Herido,Choque,M,36,1,VIA 40 CARRERA 67,11.001258,-74.78435,VIA,40,,,CARRERA,67,,,
2018-01-16,Motociclista,Herido,Atropello,M,35,1,CALLE 45 CARRERA 24,10.966522,-74.791108,CALLE,45,,,CARRERA,24,,,
2018-01-16,Peaton,Herido,Atropello,M,40,1,CALLE 45 CARRERA 24,10.966522,-74.791108,CALLE,45,,,CARRERA,24,,,
2018-01-16,Peaton,Herido,Atropello,M,54,1,CALLE 86 CARRERA 51B,11.007008,-74.820023,CALLE,86,,,CARRERA,51B,,,
2018-01-16,Peaton,Herido,Atropello,M,68,1,CARRERA 43B CALLE 92,11.00216,-74.82695,CARRERA,43B,,,CALLE,92,,,
2018-01-16,Motociclista,Herido,Choque,M,45,1,CALLE 72 CARRERA 56,11.0001,-74.800026,CALLE,72,,,CARRERA,56,,,
2018-01-16,Acompañante,Herido,Choque,M,32,1,CARRERA 38 CALLE 81,10.985622,-74.822086,CARRERA,38,,,CALLE,81,,,
2018-01-16,Ciclista,Herido,Choque,F,52,1,CARRERA 46 CALLE 92,11.004227,-74.826155,CARRERA,46,,,CALLE,92,,,
2018-01-16,Acompañante,Herido,Choque,M,33,1,CARRERA 6 CALLE 99,10.943635,-74.829696,CARRERA,6,,,CALLE,99,,,
2018-01-17,Pasajero,Herido,Choque,M,59,1,CALLE 45 CARRERA 30,10.972019,-74.789435,CALLE,45,,,CARRERA,30,,,
2018-01-17,Motociclista,Herido,Choque,M,60,1,VIA 40 CALLE 85B,11.017053,-74.796117,VIA,40,,,CALLE,85B,,,
2018-01-18,Conductor,Herido,Choque,M,57,1,CALLE 19 CARRERA 1,10.958102,-74.794049,CALLE,19,,,CARRERA,1,,,
2018-01-18,Motociclista,Herido,Choque,M,41,1,CALLE 74 CARRERA 48,10.998784,-74.805021,CALLE,74,,,CARRERA,48,,,
2018-01-18,Motociclista,Herido,Choque,M,37,1,CALLE 46 CARRERA 10 SUR,10.926086,-74.802729,CALLE,46,,,CARRERA,10,,SUR,
2018-01-18,Motociclista,Herido,Choque,M,33,1,CALLE 72 CARRERA 38B,10.986537,-74.810036,CALLE,72,,,CARRERA,38B,,,
2018-01-18,Pasajero,Herido,Choque,M,26,1,CARRERA 41 CALLE 74,10.99028,-74.811002,CARRERA,41,,,CALLE,74,,,
2018-01-18,Pasajero,Herido,Choque,M,49,1,CARRERA 41 CALLE 74,10.99028,-74.811002,CARRERA,41,,,CALLE,74,,,
2018-01-18,Pasajero,Herido,Choque,M,65,1,CARRERA 41 CALLE 74,10.99028,-74.811002,CARRERA,41,,,CALLE,74,,,
2018-01-18,Acompañante,Herido,Choque,M,19,1,CARRERA 6 CALLE 90,10.945047,-74.823964,CARRERA,6,,,CALLE,90,,,
2018-01-18,Motociclista,Herido,Choque,M,48,1,CARRERA 6 CALLE 90,10.945047,-74.823964,CARRERA,6,,,CALLE,90,,,
2018-01-18,Pasajero,Herido,Choque,F,44,1,CARRERA 6 CALLE 90,10.945047,-74.823964,CARRERA,6,,,CALLE,90,,,
2018-01-18,Pasajero,Herido,Choque,M,38,1,CARRERA 6 CALLE 90,10.945047,-74.823964,CARRERA,6,,,CALLE,90,,,
2018-01-18,Motociclista,Herido,Choque,M,33,1,CARRERA 57 CALLE 81,11.008125,-74.809948,CARRERA,57,,,CALLE,81,,,
2018-01-19,Acompañante,Herido,Choque,M,32,2,AVENIDA CIRCUNVALAR CARRERA 38,10.92896,-74.785566,AVENIDA,,CIRCUNVALAR,,CARRERA,38,,,
2018-01-19,Acompañante,Herido,Choque,M,33,1,AVENIDA CIRCUNVALAR CARRERA 38,10.92896,-74.785566,AVENIDA,,CIRCUNVALAR,,CARRERA,38,,,
2018-01-19,Conductor,Herido,Choque,M,39,1,AVENIDA CIRCUNVALAR CARRERA 38,10.92896,-74.785566,AVENIDA,,CIRCUNVALAR,,CARRERA,38,,,
2018-01-19,Motociclista,Herido,Choque,F,30,1,CARRERA 49C CALLE 80,11.001029,-74.813382,CARRERA,49C,,,CALLE,80,,,
2018-01-19,Conductor,Herido,Choque,M,31,1,CARRERA 6 CALLE 75B,10.946234,-74.820484,CARRERA,6,,,CALLE,75B,,,
2018-01-19,Motociclista,Herido,Choque,M,35,1,CARRERA 6 CALLE 75B,10.946234,-74.820484,CARRERA,6,,,CALLE,75B,,,
2018-01-20,Motociclista,Herido,Atropello,M,33,1,CALLE 110 CARRERA 31,10.978289,-74.836124,CALLE,110,,,CARRERA,31,,,
2018-01-20,Peaton,Herido,Atropello,F,39,1,CALLE 110 CARRERA 31,10.978289,-74.836124,CALLE,110,,,CARRERA,31,,,
2018-01-20,Motociclista,Herido,Choque,M,33,1,CALLE 63B CARRERA 25,10.973892,-74.808321,CALLE,63B,,,CARRERA,25,,,
2018-01-20,Acompañante,Herido,Choque,M,51,1,CALLE 30 CARRERA 15,10.951529,-74.786192,CALLE,30,,,CARRERA,15,,,
2018-01-20,Motociclista,Herido,Choque,M,51,1,CALLE 30 CARRERA 15,10.951529,-74.786192,CALLE,30,,,CARRERA,15,,,
2018-01-21,Peaton,Herido,Atropello,M,69,1,CALLE 30 CARRERA 1,11.004107,-74.806981,CALLE,30,,,CARRERA,1,,,
2018-01-21,Conductor,Herido,Choque,M,53,1,AVENIDA CIRCUNVALAR CALLE 50,10.922773,-74.812988,AVENIDA,,CIRCUNVALAR,,CALLE,50,,,
2018-01-21,Ciclista,Herido,Choque,M,33,1,CALLE 37 CARRERA 13,10.962684,-74.78696,CALLE,37,,,CARRERA,13,,,
2018-01-21,Motociclista,Muerto,Choque,M,46,1,CALLE 37 CARRERA 13,10.962684,-74.78696,CALLE,37,,,CARRERA,13,,,
2018-01-21,Acompañante,Herido,Choque,F,41,1,CALLE 6 CARRERA 46,10.985115,-74.773535,CALLE,6,,,CARRERA,46,,,
2018-01-21,Acompañante,Herido,Choque,M,12,1,CALLE 6 CARRERA 46,10.985115,-74.773535,CALLE,6,,,CARRERA,46,,,
2018-01-21,Acompañante,Herido,Choque,M,13,1,CALLE 6 CARRERA 46,10.985115,-74.773535,CALLE,6,,,CARRERA,46,,,
2018-01-21,Motociclista,Herido,Choque,M,28,1,CALLE 64 CARRERA 62,10.998236,-74.791963,CALLE,64,,,CARRERA,62,,,
2018-01-21,Motociclista,Herido,Choque,M,35,1,CARRERA 28 CALLE 28,10.965981,-74.780259,CARRERA,28,,,CALLE,28,,,
2018-01-22,Peaton,Muerto,Atropello,M,45,1,CARRERA 37 CALLE 81,10.981969,-74.832339,CARRERA,37,,,CALLE,81,,,
2018-01-22,Motociclista,Herido,Choque,M,32,1,AVENIDA CIRCUNVALAR CARRERA 38,10.92896,-74.785566,AVENIDA,,CIRCUNVALAR,,CARRERA,38,,,
2018-01-22,Motociclista,Herido,Choque,M,50,1,CALLE 46 CARRERA 18,10.960066,-74.799248,CALLE,46,,,CARRERA,18,,,
2018-01-22,Acompañante,Herido,Choque,M,28,1,CALLE 17 CARRERA 7B,10.946704,-74.772741,CALLE,17,,,CARRERA,7B,,,
2018-01-22,Motociclista,Herido,Choque,M,42,1,CALLE 68 CARRERA 24C,10.973592,-74.808492,CALLE,68,,,CARRERA,24C,,,
2018-01-22,Motociclista,Herido,Choque,M,25,1,CARRERA 24 CALLE 33,10.963885,-74.78473,CARRERA,24,,,CALLE,33,,,
2018-01-22,Pasajero,Herido,Choque,M,34,1,CARRERA 24 CALLE 33,10.963885,-74.78473,CARRERA,24,,,CALLE,33,,,
2018-01-22,Acompañante,Herido,Choque,M,34,1,CARRERA 8 CALLE 44,10.946108,-74.798843,CARRERA,8,,,CALLE,44,,,
2018-01-22,Ciclista,Herido,Choque,M,28,1,VIA 40 CARRERA 53B,10.994234,-74.780951,VIA,40,,,CARRERA,53B,,,
2018-01-23,Peaton,Herido,Atropello,M,55,1,CARRERA 15 CALLE 26,10.952677,-74.780219,CARRERA,15,,,CALLE,26,,,
2018-01-23,Pasajero,Herido,Caida Ocupante,M,25,1,CARRERA 44 CALLE 35,10.983079,-74.77875,CARRERA,44,,,CALLE,35,,,
2018-01-23,Acompañante,Herido,Choque,M,32,1,CALLE 45 CARRERA 11 SUR,10.92566,-74.799073,CALLE,45,,,CARRERA,11,,SUR,
2018-01-23,Motociclista,Herido,Choque,M,25,1,CALLE 45 CARRERA 11 SUR,10.92566,-74.799073,CALLE,45,,,CARRERA,11,,SUR,
2018-01-23,Conductor,Herido,Choque,M,32,1,CALLE 51 CARRERA 23,10.967829,-74.796051,CALLE,51,,,CARRERA,23,,,
2018-01-23,Motociclista,Herido,Choque,M,52,1,CARRERA 21B CALLE 68,10.968804,-74.809718,CARRERA,21B,,,CALLE,68,,,
2018-01-23,Motociclista,Herido,Choque,M,38,1,CARRERA 42G CALLE 85,10.997756,-74.823288,CARRERA,42G,,,CALLE,85,,,
2018-01-24,Peaton,Herido,Atropello,F,24,1,CALLE 110 CARRERA 9G,11.033264,-74.830955,CALLE,110,,,CARRERA,9G,,,
2018-01-24,Acompañante,Herido,Choque,M,40,1,CALLE 30 CARRERA 33,10.971792,-74.779568,CALLE,30,,,CARRERA,33,,,
2018-01-24,Motociclista,Herido,Choque,M,61,1,CALLE 30 CARRERA 33,10.971792,-74.779568,CALLE,30,,,CARRERA,33,,,
2018-01-24,Conductor,Herido,Choque,M,36,1,CARRERA 15 SUR CALLE 73,10.922826,-74.805247,CARRERA,15,,SUR,CALLE,73,,,
2018-01-24,Conductor,Herido,Choque,M,36,1,CARRERA 15 SUR CALLE 73,10.922826,-74.805247,CALLE,15,,SUR,CARRERA,73,,,
2018-01-24,Motociclista,Herido,Choque,M,54,1,CALLE 69 CARRERA 49,10.994842,-74.801315,CALLE,69,,,CARRERA,49,,,
2018-01-24,Pasajero,Herido,Choque,M,33,1,CARRERA 47 CALLE 75,10.996854,-74.808483,CARRERA,47,,,CALLE,75,,,
